,date,temperature,month,month_sin,month_cos,day,day_sin,day_cos,hours,hours_sin,hours_cos
225,1710061200,8.530246,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,9,0.7071067811865476,-0.7071067811865475
226,1710064800,9.500245,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,10,0.49999999999999994,-0.8660254037844387
227,1710068400,9.8102455,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,11,0.258819045102521,-0.9659258262890682
228,1710072000,9.990245,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,12,1.2246467991473532e-16,-1.0
229,1710075600,10.320246,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,13,-0.2588190451025208,-0.9659258262890683
230,1710079200,9.390245,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,14,-0.4999999999999997,-0.8660254037844388
231,1710082800,8.840245,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,15,-0.7071067811865471,-0.7071067811865479
232,1710086400,8.360246,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,16,-0.8660254037844384,-0.5000000000000004
233,1710090000,7.900245,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,17,-0.9659258262890683,-0.25881904510252063
234,1710093600,7.5602455,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,18,-1.0,-1.8369701987210297e-16
235,1710097200,7.3002453,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,19,-0.9659258262890684,0.2588190451025203
236,1710100800,6.9902453,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,20,-0.8660254037844386,0.5000000000000001
237,1710104400,6.6602454,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,21,-0.7071067811865477,0.7071067811865474
238,1710108000,6.0802455,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,22,-0.5000000000000004,0.8660254037844384
239,1710111600,5.3902454,3,1.0,6.123233995736766e-17,10,0.8660254037844387,-0.4999999999999998,23,-0.25881904510252157,0.9659258262890681
240,1710115200,4.6202455,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,0,0.0,1.0
241,1710118800,3.8802452,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,1,0.25881904510252074,0.9659258262890683
242,1710122400,3.0802455,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,2,0.49999999999999994,0.8660254037844387
243,1710126000,2.7002454,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,3,0.7071067811865475,0.7071067811865476
244,1710129600,2.8102455,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,4,0.8660254037844386,0.5000000000000001
245,1710133200,2.7102456,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,5,0.9659258262890683,0.25881904510252074
246,1710136800,2.7102456,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,6,1.0,6.123233995736766e-17
247,1710140400,3.8702455,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,7,0.9659258262890683,-0.25881904510252063
248,1710144000,6.1402454,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,8,0.8660254037844387,-0.4999999999999998
249,1710147600,8.210245,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,9,0.7071067811865476,-0.7071067811865475
250,1710151200,9.820246,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,10,0.49999999999999994,-0.8660254037844387
251,1710154800,10.990245,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,11,0.258819045102521,-0.9659258262890682
252,1710158400,11.720245,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,12,1.2246467991473532e-16,-1.0
253,1710162000,12.270246,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,13,-0.2588190451025208,-0.9659258262890683
254,1710165600,12.8102455,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,14,-0.4999999999999997,-0.8660254037844388
255,1710169200,12.5602455,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,15,-0.7071067811865471,-0.7071067811865479
256,1710172800,11.970245,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,16,-0.8660254037844384,-0.5000000000000004
257,1710176400,10.160245,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,17,-0.9659258262890683,-0.25881904510252063
258,1710180000,8.3102455,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,18,-1.0,-1.8369701987210297e-16
259,1710183600,6.920245,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,19,-0.9659258262890684,0.2588190451025203
260,1710187200,6.5102453,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,20,-0.8660254037844386,0.5000000000000001
261,1710190800,6.2402453,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,21,-0.7071067811865477,0.7071067811865474
262,1710194400,6.110245,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,22,-0.5000000000000004,0.8660254037844384
263,1710198000,5.4502454,3,1.0,6.123233995736766e-17,11,0.7431448254773945,-0.6691306063588579,23,-0.25881904510252157,0.9659258262890681
264,1710201600,5.130245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,0,0.0,1.0
265,1710205200,5.1002455,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,1,0.25881904510252074,0.9659258262890683
266,1710208800,5.3102455,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,2,0.49999999999999994,0.8660254037844387
267,1710212400,5.8102455,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,3,0.7071067811865475,0.7071067811865476
268,1710216000,6.130245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,4,0.8660254037844386,0.5000000000000001
269,1710219600,6.440245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,5,0.9659258262890683,0.25881904510252074
270,1710223200,6.8502455,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,6,1.0,6.123233995736766e-17
271,1710226800,7.0302453,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,7,0.9659258262890683,-0.25881904510252063
272,1710230400,7.480245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,8,0.8660254037844387,-0.4999999999999998
273,1710234000,8.160246,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,9,0.7071067811865476,-0.7071067811865475
274,1710237600,8.460245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,10,0.49999999999999994,-0.8660254037844387
275,1710241200,9.030245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,11,0.258819045102521,-0.9659258262890682
276,1710244800,9.260245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,12,1.2246467991473532e-16,-1.0
277,1710248400,9.490245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,13,-0.2588190451025208,-0.9659258262890683
278,1710252000,9.640245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,14,-0.4999999999999997,-0.8660254037844388
279,1710255600,9.730246,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,15,-0.7071067811865471,-0.7071067811865479
280,1710259200,9.590245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,16,-0.8660254037844384,-0.5000000000000004
281,1710262800,9.090245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,17,-0.9659258262890683,-0.25881904510252063
282,1710266400,8.470245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,18,-1.0,-1.8369701987210297e-16
283,1710270000,8.170245,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,19,-0.9659258262890684,0.2588190451025203
284,1710273600,7.8202453,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,20,-0.8660254037844386,0.5000000000000001
285,1710277200,7.5602455,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,21,-0.7071067811865477,0.7071067811865474
286,1710280800,7.4902453,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,22,-0.5000000000000004,0.8660254037844384
287,1710284400,7.5102453,3,1.0,6.123233995736766e-17,12,0.5877852522924732,-0.8090169943749473,23,-0.25881904510252157,0.9659258262890681
288,1710288000,7.630245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,0,0.0,1.0
289,1710291600,7.7802453,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,1,0.25881904510252074,0.9659258262890683
290,1710295200,7.9302454,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,2,0.49999999999999994,0.8660254037844387
291,1710298800,8.020246,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,3,0.7071067811865475,0.7071067811865476
292,1710302400,8.200246,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,4,0.8660254037844386,0.5000000000000001
293,1710306000,8.350245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,5,0.9659258262890683,0.25881904510252074
294,1710309600,8.540245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,6,1.0,6.123233995736766e-17
295,1710313200,8.860246,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,7,0.9659258262890683,-0.25881904510252063
296,1710316800,9.450245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,8,0.8660254037844387,-0.4999999999999998
297,1710320400,10.010245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,9,0.7071067811865476,-0.7071067811865475
298,1710324000,10.540245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,10,0.49999999999999994,-0.8660254037844387
299,1710327600,11.370245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,11,0.258819045102521,-0.9659258262890682
300,1710331200,12.170245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,12,1.2246467991473532e-16,-1.0
301,1710334800,12.910245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,13,-0.2588190451025208,-0.9659258262890683
302,1710338400,12.940246,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,14,-0.4999999999999997,-0.8660254037844388
303,1710342000,13.050245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,15,-0.7071067811865471,-0.7071067811865479
304,1710345600,12.670245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,16,-0.8660254037844384,-0.5000000000000004
305,1710349200,11.910245,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,17,-0.9659258262890683,-0.25881904510252063
306,1710352800,10.820246,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,18,-1.0,-1.8369701987210297e-16
307,1710356400,9.110246,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,19,-0.9659258262890684,0.2588190451025203
308,1710360000,7.9902453,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,20,-0.8660254037844386,0.5000000000000001
309,1710363600,7.6802454,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,21,-0.7071067811865477,0.7071067811865474
310,1710367200,7.1402454,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,22,-0.5000000000000004,0.8660254037844384
311,1710370800,6.8502455,3,1.0,6.123233995736766e-17,13,0.40673664307580004,-0.913545457642601,23,-0.25881904510252157,0.9659258262890681
312,1710374400,6.5102453,3,1.0,6.123233995736766e-17,14,0.20791169081775931,-0.9781476007338057,0,0.0,1.0
313,1710378000,5.8302455,3,1.0,6.123233995736766e-17,14,0.20791169081775931,-0.9781476007338057,1,0.25881904510252074,0.9659258262890683
314,1710381600,5.770245,3,1.0,6.123233995736766e-17,14,0.20791169081775931,-0.9781476007338057,2,0.49999999999999994,0.8660254037844387
315,1710385200,5.690245,3,1.0,6.123233995736766e-17,14,0.20791169081775931,-0.9781476007338057,3,0.7071067811865475,0.7071067811865476
316,1710388800,5.5102453,3,1.0,6.123233995736766e-17,14,0.20791169081775931,-0.9781476007338057,4,0.8660254037844386,0.5000000000000001
317,1710392400,5.2002454,3,1.0,6.123233995736766e-17,14,0.20791169081775931,-0.9781476007338057,5,0.9659258262890683,0.25881904510252074
318,1710396000,4.940245,3,1.0,6.123233995736766e-17,14,0.20791169081775931,-0.9781476007338057,6,1.0,6.123233995736766e-17
